ev_id;ntsb_no;ev_type;ev_date;ev_dow;ev_time;ev_tmzn;ev_city;ev_state;ev_country;ev_site_zipcode;ev_year;ev_month;mid_air;on_ground_collision;latitude;longitude;latlong_acq;apt_name;ev_nr_apt_id;ev_nr_apt_loc;apt_dist;apt_dir;apt_elev;wx_brief_comp;wx_src_iic;wx_obs_time;wx_obs_dir;wx_obs_fac_id;wx_obs_elev;wx_obs_dist;wx_obs_tmzn;light_cond;sky_cond_nonceil;sky_nonceil_ht;sky_ceil_ht;sky_cond_ceil;vis_rvr;vis_rvv;vis_sm;wx_temp;wx_dew_pt;wind_dir_deg;wind_dir_ind;wind_vel_kts;wind_vel_ind;gust_ind;gust_kts;altimeter;wx_dens_alt;wx_int_precip;metar;ev_highest_injury;inj_f_grnd;inj_m_grnd;inj_s_grnd;inj_tot_f;inj_tot_m;inj_tot_n;inj_tot_s;inj_tot_t;invest_agy;ntsb_docket;ntsb_notf_from;ntsb_notf_date;ntsb_notf_tm;fiche_number;lchg_date;lchg_userid;wx_cond_basic;faa_dist_office;dec_latitude;dec_longitude
20080107X00026;SEA08LA057;ACC;2008/1/1 00:00:00;Tu;2230;UTC;Sonoma;CA;USA;95476;2008;1;Y;N;381326N;1222659W;;Schellville/Sonoma;OQ3;ONAP;0,00;;10;;WFAC;2254;220;DVO;2;7;UTC;DAYL;CLER;0;0;NONE;;;10,00;57;32;80;U;10;F;T;0;30,19;;;;NONE;;;;0;0;3;0;3;N;;;;;;2020/9/25 18:05:31;;VMC;;38,22;-122,44
20080107X00027;DFW08LA055;ACC;2008/1/3 00:00:00;Th;825;UTC;Oklahoma City;OK;USA;73008;2008;1;;;035321N;0973829W;;Wiley Post;PWA;ONAP;0,00;;1299;;WFAC;853;0;PWA;1299;0;UTC;NITE;CLER;0;0;NONE;;;10,00;0;0;170;U;16;F;T;0;30,64;;;;FATL;1;0;0;0;0;8;0;9;;;;;;;2020/9/25 18:04:02;;VMC;;35,53;-97,64
20080109X00036;DFW08CA054;ACC;2008/1/1 00:00:00;Tu;2200;UTC;Arcola;TX;USA;77583;2008;1;;;293022N;0952836W;;HOUSTON-SOUTHWEST;AXH;ONAP;0,00;;68;;WFAC;1553;0;SGR;;0;;DAYL;CLER;0;0;NONE;;;10,00;55;14;360;U;15;F;F;20;30,62;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 18:05:31;;VMC;;29,50;-95,47
20080111X00038;DCA08WA024;INC;2008/1/3 00:00:00;Th;745;UTC;Deauville Saint;;FR;;2008;1;;;482148N;0000922E;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;;;;;0;0;0;0;;O;;;;;;2020/9/25 18:07:50;;;;48,36;0,15
20080111X00039;DCA08WA025;INC;2008/1/7 00:00:00;Mo;;;Bangkok;;TH;;2008;1;;;;;;;;;0,00;;;;;;0;;;0;;;;0;0;;;;;0;0;0;U;;F;F;0;0,00;;;;NONE;;;;0;0;334;0;334;O;;;;;;2020/9/25 18:07:50;;;;;
20080114X00044;MIA08LA036;ACC;2008/1/6 00:00:00;Su;1510;UTC;Miami;FL;USA;33186;2008;1;;;253726N;0803426W;;;;OFAP;5,00;;8;;WFAC;1453;270;KTMB;8;5;UTC;DAYL;CLER;0;0;NONE;;;10,00;73;59;100;U;13;F;T;0;30,29;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 18:04:46;;VMC;;25,62;-80,57
20080115X00046;MIA08LA034;ACC;2008/1/3 00:00:00;Th;2045;UTC;Stevensville;MD;USA;21666;2008;1;;;385821N;0761928W;;BAY BRIDGE;W29;ONAP;1,00;;15;;WFAC;2055;130;ESN;72;16;UTC;DAYL;SCAT;5000;0;NONE;;;10,00;30;12;320;U;11;F;F;20;30,65;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 18:04:46;;VMC;;38,97;-76,32
20080115X00047;MIA08LA035;ACC;2008/1/5 00:00:00;Sa;2045;UTC;Spotsylvania;VA;USA;22551;2008;1;;;038128N;0773515W;;;;OFAP;0,00;;;;WFAC;2043;30;KEZF;85;12;UTC;DAYL;CLER;0;0;NONE;;;10,00;48;43;160;U;5;F;T;0;30,29;;;;MINR;;;;0;1;0;0;1;N;;;;;;2020/9/25 18:04:02;;VMC;;38,20;-77,58
20080115X00051;DEN08CA047;ACC;2008/1/2 00:00:00;We;2230;UTC;Loveland;CO;USA;80538;2008;1;;;040276N;0010504W;;Fort Collins Loveland;FNL;ONAP;1,00;;5016;;WFAC;2235;180;KFNL;;1;UTC;DAYL;CLER;0;0;NONE;;;10,00;19;7;150;U;5;F;T;0;30,26;;;;NONE;;;;0;0;1;0;1;N;;;;;;2020/9/25 18:06:16;;VMC;;40,45;-105,00
20080115X00052;DEN08LA049;ACC;2008/1/12 00:00:00;Sa;2200;UTC;Pine Bluffs;WY;USA;82082;2008;1;;;041912N;0104749W;;Pine Bluffs;82V;ONAP;0,00;;5152;;WFAC;1510;0;IBM;4926;0;;DAYL;SCAT;9500;0;NONE;;;10,00;34;21;340;U;10;F;F;15;30,03;;;;NONE;;;;0;0;2;0;2;N;;;;;;2020/9/25 18:05:31;;VMC;;41,15;-104,13
