ev_id,ev_type,ev_year,ev_time,ev_highest_injury,ev_nr_apt_loc,latitude,longitude,mid_air,on_ground_collision,light_cond,wx_cond_basic,sky_cond_ceil,sky_ceil_ht,vis_sm,wx_temp,wx_dew_pt,wind_dir_deg,wind_vel_kts,gust_kts,wx_int_precip,altimeter
20080107X00026,ACC,2008.0,2230,NONE,ONAP,2439350.0,59652314.0,Y,N,DAYL,VMC,NONE,0.0,416.0,57.0,32.0,80.0,10.0,0.0,UNKNOWN,0.0
20080107X00027,ACC,2008.0,825,FATL,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NITE,VMC,NONE,0.0,416.0,0.0,0.0,170.0,16.0,0.0,UNKNOWN,0.0
20080109X00036,ACC,2008.0,2200,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,55.0,14.0,360.0,15.0,20.0,UNKNOWN,0.0
20080111X00038,INC,2008.0,745,UNKNOWN,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080111X00039,INC,2008.0,00:00,NONE,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080114X00044,ACC,2008.0,1510,NONE,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,73.0,59.0,100.0,13.0,0.0,UNKNOWN,0.0
20080115X00046,ACC,2008.0,2045,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,30.0,12.0,320.0,11.0,20.0,UNKNOWN,0.0
20080115X00047,ACC,2008.0,2045,MINR,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,48.0,43.0,160.0,5.0,0.0,UNKNOWN,0.0
20080115X00051,ACC,2008.0,2230,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,19.0,7.0,150.0,5.0,0.0,UNKNOWN,0.0
20080115X00052,ACC,2008.0,2200,NONE,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,34.0,21.0,340.0,10.0,15.0,UNKNOWN,0.0
20080116X00062,ACC,2008.0,1739,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,36.0,25.0,0.0,4.0,0.0,UNKNOWN,0.0
20080116X00063,ACC,2008.0,1743,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,UNKNOWN,0.0,416.0,25.0,14.0,300.0,17.0,26.0,UNKNOWN,0.0
20080117X00065,ACC,2008.0,1,MINR,UNKNOWN,2439350.0,59652314.0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0,416.0,0.0,0.0,0.0,7.0,0.0,UNKNOWN,0.0
20080117X00067,ACC,2008.0,1508,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,NDRK,VMC,OVC,5500.0,416.0,68.0,55.0,30.0,23.0,27.0,UNKNOWN,0.0
20080117X00068,ACC,2008.0,2215,FATL,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,64.0,37.0,0.0,7.0,0.0,UNKNOWN,0.0
20080117X00069,ACC,2008.0,2334,MINR,OFAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,NONE,0.0,416.0,48.0,43.0,0.0,7.0,0.0,UNKNOWN,0.0
20080118X00073,ACC,2008.0,329,NONE,ONAP,2439350.0,59652314.0,N,Y,NITE,VMC,NONE,0.0,416.0,52.0,45.0,0.0,7.0,0.0,UNKNOWN,0.0
20080118X00074,ACC,2008.0,1839,MINR,ONAP,2439350.0,59652314.0,UNKNOWN,UNKNOWN,DAYL,VMC,BKN,3500.0,416.0,30.0,27.0,160.0,17.0,0.0,UNKNOWN,0.0
