ev_id,Aircraft_Key,crew_no,crew_category,crew_age,med_certf,med_crtf_vldty,date_lst_med,crew_rat_endorse,crew_tox_perf,pc_profession,bfr,bfr_date,ft_as_of,pilot_flying
20080107X00026,1,1,PLT,56.0,CL3,4.0,2007/11/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/7/1 00:00:00,0.0,
20080107X00026,2,1,PLT,70.0,CL3,4.0,2006/12/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/7/1 00:00:00,0.0,
20080107X00027,1,1,PLT,59.0,CL2,4.0,2007/6/1 00:00:00,UNKNOWN,N,UNK,UNKNOWN,2007/2/1 00:00:00,0.0,
20080109X00036,1,1,PLT,54.0,CL3,4.0,2006/9/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/11/1 00:00:00,0.0,
20080114X00044,1,1,FLTI,30.0,CL2,4.0,2007/4/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/4/1 00:00:00,0.0,
20080114X00044,1,2,DSTU,49.0,CL1,4.0,2006/8/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080115X00046,1,1,PLT,66.0,SPRT,4.0,2003/3/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/6/1 00:00:00,0.0,
20080115X00047,1,1,PLT,57.0,CL3,4.0,2007/12/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2006/8/1 00:00:00,0.0,
20080115X00051,1,1,DSTU,36.0,CL3,4.0,2007/12/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080115X00052,1,1,PLT,77.0,CL3,4.0,2006/4/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080116X00062,1,1,PLT,67.0,CL3,4.0,2006/8/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2007/12/1 00:00:00,0.0,
20080116X00063,1,1,PLT,50.0,CL1,4.0,2007/8/7 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2007/9/1 00:00:00,0.0,
20080117X00067,1,1,PLT,38.0,CL1,4.0,2008/1/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/10/1 00:00:00,0.0,
20080117X00068,1,1,PLT,68.0,CL3,4.0,2007/3/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2007/5/1 00:00:00,0.0,
20080117X00069,1,1,PLT,63.0,CL3,4.0,2006/7/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2007/3/1 00:00:00,0.0,
20080118X00073,1,1,PLT,39.0,CL1,4.0,2007/9/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/11/1 00:00:00,0.0,
20080118X00073,1,2,CPLT,36.0,CL1,4.0,2007/7/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/3/1 00:00:00,0.0,
20080118X00073,2,1,OTHR,55.0,NONE,4.0,2008-01-01,UNKNOWN,N,NO,UNKNOWN,2008-01-01,0.0,
20080118X00074,1,1,PLT,40.0,CL1,4.0,2007/12/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/9/1 00:00:00,0.0,
20080118X00075,1,1,PLT,58.0,CL2,4.0,2007/7/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/3/1 00:00:00,0.0,
20080118X00079,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080122X00082,1,1,PLT,63.0,CL3,4.0,2007/5/1 00:00:00,UNKNOWN,N,NO,UNKNOWN,2008/3/1 00:00:00,0.0,
20080122X00084,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080122X00084,1,2,FLTI,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080122X00085,1,1,PLT,68.0,CL2,4.0,2006/10/4 00:00:00,UNKNOWN,Y,YES,UNKNOWN,2007/4/13 00:00:00,0.0,
20080122X00086,1,1,PLT,53.0,UNKNOWN,4.0,2008-01-01,UNKNOWN,N,UNKNOWN,UNKNOWN,2008-01-01,0.0,
20080122X00087,1,1,PLT,46.0,CL1,4.0,2007/2/27 00:00:00,UNKNOWN,N,YES,UNKNOWN,2007/3/25 00:00:00,0.0,
20080122X00088,1,1,PLT,53.0,CL1,4.0,2007/10/1 00:00:00,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080122X00088,1,2,CPLT,53.0,CL1,4.0,2008-01-01,UNKNOWN,N,YES,UNKNOWN,2008-01-01,0.0,
20080123X00090,1,1,PLT,31.0,CL3,4.0,2005/9/1 00:00:00,UNKNOWN,Y,NO,UNKNOWN,2006/8/1 00:00:00,0.0,
